,Area,city,district,Prywatne,Firmowe,Zwierzęta,Winda,Umeblowane,Poziom,Rooms,Parking,Zabudowa,Total_price
4358,29.0,łódź,śródmieście,1,0,0,1,1,3 ,1,brak,apartamentowiec ,2100.0
4359,19.0,łódź,śródmieście,1,0,0,0,1,4 ,1,brak,kamienica ,38447.0
4360,43.0,łódź,polesie,1,0,0,1,1,1 ,2,brak,blok ,2630.0
4361,62.13,łódź,śródmieście,0,1,0,1,1,2 ,3,garaż,apartamentowiec ,3650.0
4362,31.0,łódź,polesie,0,1,0,1,1,3 ,1,brak,blok ,2350.0
4363,37.5,łódź,śródmieście,0,1,0,1,1,-1,2,brak,loft ,2986.0
4365,11.0,łódź,śródmieście,1,0,0,0,1,-1,1,brak,kamienica ,1900.0
4367,37.0,łódź,śródmieście,1,0,0,0,1,4 ,2,brak,apartamentowiec ,3060.0
4368,30.0,łódź,śródmieście,1,0,0,0,1,4 ,1,brak,apartamentowiec ,2300.0
4369,30.0,łódź,bałuty,1,0,0,1,1,7 ,2,ulica,blok ,2500.0
4371,17.0,łódź,śródmieście,0,1,0,0,1,4 ,1,brak,kamienica ,1830.0
4373,40.57,łódź,polesie,1,0,0,1,1,3 ,2,garaż,apartamentowiec ,2740.0
4375,30.0,łódź,śródmieście,1,0,1,0,1,2 ,1,brak,kamienica ,1735.0
4376,43.0,łódź,śródmieście,0,1,0,1,1,3 ,2,brak,apartamentowiec ,3000.0
4377,15.0,łódź,śródmieście,1,0,1,0,1,parter ,1,brak,kamienica ,1655.0
4378,25.0,łódź,śródmieście,0,1,1,1,1,4 ,1,garaż,blok ,1990.0
4380,60.0,łódź,polesie,1,0,0,1,1,7 ,3,ulica,blok ,2800.0
4381,21.0,łódź,śródmieście,0,1,1,0,1,3 ,1,brak,kamienica ,1700.0
4382,38.0,łódź,śródmieście,1,0,0,1,1,parter ,2,ulica,blok ,3000.0
4385,42.0,łódź,śródmieście,1,0,0,0,1,3 ,2,brak,kamienica ,2101.0
4386,39.0,łódź,bałuty,1,0,0,0,1,-1,2,brak,blok ,2800.0
4388,17.0,łódź,bałuty,1,0,0,0,1,2 ,1,brak,kamienica ,1810.0
4389,40.0,łódź,polesie,1,0,1,1,1,1 ,2,brak,blok ,2530.0
4390,38.96,łódź,śródmieście,0,1,0,1,1,6 ,2,garaż,apartamentowiec ,2900.0
4393,40.0,łódź,górna,1,0,0,0,1,3 ,2,brak,blok ,2200.0
4394,30.0,łódź,śródmieście,1,0,1,0,1,2 ,1,brak,kamienica ,1800.0
4397,29.0,łódź,śródmieście,1,0,0,1,1,3 ,1,brak,blok ,2100.0
4398,39.0,łódź,bałuty,1,0,0,0,1,1 ,2,brak,blok ,2600.0
4399,37.5,łódź,bałuty,1,0,0,0,1,4 ,2,ulica,blok ,2662.0
4402,18.0,łódź,polesie,1,0,0,0,1,2 ,1,brak,blok ,850.0
